nm, %T
1100.000000, 82.182200
1099.000000, 82.169600
1098.000000, 82.175600
1097.000000, 82.173400
1096.000000, 82.177400
1095.000000, 82.177200
1094.000000, 82.209500
1093.000000, 82.167600
1092.000000, 82.190800
1091.000000, 82.196300
1090.000000, 82.193900
1089.000000, 82.207600
1088.000000, 82.183000
1087.000000, 82.211400
1086.000000, 82.186300
1085.000000, 82.200900
1084.000000, 82.199600
1083.000000, 82.205000
1082.000000, 82.197000
1081.000000, 82.202400
1080.000000, 82.214900
1079.000000, 82.179000
1078.000000, 82.189100
1077.000000, 82.180600
1076.000000, 82.204200
1075.000000, 82.200500
1074.000000, 82.202400
1073.000000, 82.212600
1072.000000, 82.233300
1071.000000, 82.184700
1070.000000, 82.193900
1069.000000, 82.198200
1068.000000, 82.185600
1067.000000, 82.198100
1066.000000, 82.202200
1065.000000, 82.202800
1064.000000, 82.179300
1063.000000, 82.194300
1062.000000, 82.216300
1061.000000, 82.210900
1060.000000, 82.171000
1059.000000, 82.174200
1058.000000, 82.195100
1057.000000, 82.185700
1056.000000, 82.177400
1055.000000, 82.185100
1054.000000, 82.183900
1053.000000, 82.198200
1052.000000, 82.174200
1051.000000, 82.187100
1050.000000, 82.196600
1049.000000, 82.172200
1048.000000, 82.177600
1047.000000, 82.178300
1046.000000, 82.177300
1045.000000, 82.179800
1044.000000, 82.192900
1043.000000, 82.182700
1042.000000, 82.172300
1041.000000, 82.179100
1040.000000, 82.202300
1039.000000, 82.200300
1038.000000, 82.163400
1037.000000, 82.171300
1036.000000, 82.173200
1035.000000, 82.175600
1034.000000, 82.171400
1033.000000, 82.187100
1032.000000, 82.162700
1031.000000, 82.177500
1030.000000, 82.176700
1029.000000, 82.160100
1028.000000, 82.164600
1027.000000, 82.159000
1026.000000, 82.151900
1025.000000, 82.153500
1024.000000, 82.150600
1023.000000, 82.167200
1022.000000, 82.171000
1021.000000, 82.162500
1020.000000, 82.143000
1019.000000, 82.154200
1018.000000, 82.163600
1017.000000, 82.153300
1016.000000, 82.158900
1015.000000, 82.154800
1014.000000, 82.155300
1013.000000, 82.157600
1012.000000, 82.148100
1011.000000, 82.148200
1010.000000, 82.148100
1009.000000, 82.140300
1008.000000, 82.139300
1007.000000, 82.142700
1006.000000, 82.149100
1005.000000, 82.148300
1004.000000, 82.144200
1003.000000, 82.139000
1002.000000, 82.132700
1001.000000, 82.139400
1000.000000, 82.141900
999.000000, 82.120200
998.000000, 82.118700
997.000000, 82.129300
996.000000, 82.137100
995.000000, 82.119700
994.000000, 82.127100
993.000000, 82.129700
992.000000, 82.114800
991.000000, 82.111400
990.000000, 82.085600
989.000000, 82.098900
988.000000, 82.100700
987.000000, 82.111200
986.000000, 82.101700
985.000000, 82.111200
984.000000, 82.108800
983.000000, 82.101500
982.000000, 82.085100
981.000000, 82.105000
980.000000, 82.114600
