nm, %T
1100.000000, 74.440329
1099.000000, 74.462575
1098.000000, 74.420996
1097.000000, 74.404978
1096.000000, 74.432995
1095.000000, 74.433419
1094.000000, 74.432395
1093.000000, 74.470473
1092.000000, 74.451398
1091.000000, 74.418192
1090.000000, 74.449929
1089.000000, 74.442996
1088.000000, 74.479880
1087.000000, 74.468139
1086.000000, 74.503902
1085.000000, 74.514756
1084.000000, 74.482114
1083.000000, 74.478681
1082.000000, 74.495785
1081.000000, 74.505611
1080.000000, 74.498297
1079.000000, 74.545078
1078.000000, 74.546138
1077.000000, 74.525740
1076.000000, 74.509940
1075.000000, 74.540666
1074.000000, 74.548432
1073.000000, 74.535898
1072.000000, 74.534890
1071.000000, 74.573735
1070.000000, 74.592397
1069.000000, 74.577181
1068.000000, 74.614774
1067.000000, 74.583476
1066.000000, 74.579634
1065.000000, 74.566803
1064.000000, 74.616357
1063.000000, 74.628776
1062.000000, 74.627416
1061.000000, 74.629033
1060.000000, 74.684256
1059.000000, 74.687432
1058.000000, 74.674281
1057.000000, 74.701317
1056.000000, 74.701317
1055.000000, 74.683124
1054.000000, 74.712930
1053.000000, 74.717938
1052.000000, 74.755093
1051.000000, 74.761489
1050.000000, 74.766840
1049.000000, 74.763484
1048.000000, 74.769767
1047.000000, 74.758543
1046.000000, 74.780992
1045.000000, 74.798673
1044.000000, 74.805488
1043.000000, 74.813677
1042.000000, 74.847485
1041.000000, 74.852487
1040.000000, 74.821386
1039.000000, 74.853133
1038.000000, 74.909266
1037.000000, 74.927012
1036.000000, 74.896073
1035.000000, 74.897050
1034.000000, 74.910005
1033.000000, 74.920273
1032.000000, 74.977453
1031.000000, 74.971860
1030.000000, 74.991695
1029.000000, 75.010620
1028.000000, 75.019777
1027.000000, 75.044122
1026.000000, 75.070449
1025.000000, 75.079211
1024.000000, 75.066281
1023.000000, 75.069249
1022.000000, 75.087196
1021.000000, 75.108839
1020.000000, 75.148339
1019.000000, 75.142598
1018.000000, 75.127429
1017.000000, 75.140986
1016.000000, 75.167998
1015.000000, 75.194511
1014.000000, 75.217180
1013.000000, 75.217874
1012.000000, 75.211721
1011.000000, 75.236098
1010.000000, 75.250797
1009.000000, 75.276691
1008.000000, 75.299035
1007.000000, 75.312231
1006.000000, 75.312207
1005.000000, 75.332904
1004.000000, 75.359916
1003.000000, 75.364687
1002.000000, 75.382643
1001.000000, 75.417278
1000.000000, 75.436775
999.000000, 75.462797
998.000000, 75.475744
997.000000, 75.481953
996.000000, 75.507049
995.000000, 75.530719
994.000000, 75.524522
993.000000, 75.535038
992.000000, 75.577606
991.000000, 75.617637
990.000000, 75.651759
989.000000, 75.627932
988.000000, 75.655993
987.000000, 75.669336
986.000000, 75.694170
985.000000, 75.693815
984.000000, 75.723065
983.000000, 75.746485
982.000000, 75.784521
981.000000, 75.768711
980.000000, 75.775075
979.000000, 75.818633
978.000000, 75.837828
977.000000, 75.861330
976.000000, 75.896690
975.000000, 75.929834
974.000000, 75.955574
973.000000, 75.937848
972.000000, 75.930897
971.000000, 75.975739
970.000000, 76.013372
969.000000, 76.030339
968.000000, 76.069433
967.000000, 76.065953
966.000000, 76.074955
965.000000, 76.124471
964.000000, 76.129276
963.000000, 76.149092
962.000000, 76.173559
961.000000, 76.184815
960.000000, 76.215947
959.000000, 76.262483
958.000000, 76.272367
957.000000, 76.280346
956.000000, 76.329130
955.000000, 76.370251
954.000000, 76.361891
953.000000, 76.387747
952.000000, 76.414474
951.000000, 76.431218
950.000000, 76.471477
949.000000, 76.480942
948.000000, 76.474350
947.000000, 76.513845
946.000000, 76.566876
945.000000, 76.586200
944.000000, 76.601098
943.000000, 76.615538
942.000000, 76.640273
941.000000, 76.674336
940.000000, 76.708313
939.000000, 76.747075
938.000000, 76.742708
937.000000, 76.737858
936.000000, 76.774996
935.000000, 76.818566
934.000000, 76.852222
933.000000, 76.853382
932.000000, 76.879739
931.000000, 76.905460
930.000000, 76.937089
929.000000, 76.977921
928.000000, 76.988829
927.000000, 77.020820
926.000000, 77.047434
925.000000, 77.066843
924.000000, 77.083529
923.000000, 77.109245
922.000000, 77.159584
921.000000, 77.194734
920.000000, 77.181300
919.000000, 77.188730
918.000000, 77.265701
917.000000, 77.314142
916.000000, 77.326087
915.000000, 77.322578
914.000000, 77.328881
913.000000, 77.360228
912.000000, 77.406644
911.000000, 77.454861
910.000000, 77.464864
909.000000, 77.488595
908.000000, 77.530253
907.000000, 77.571504
906.000000, 77.600033
905.000000, 77.605707
904.000000, 77.594006
903.000000, 77.696953
902.000000, 77.843968
901.000000, 77.877901
900.000000, 77.861902
899.000000, 77.873296
898.000000, 77.953755
897.000000, 77.929538
896.000000, 77.894788
895.000000, 77.909890
894.000000, 77.935680
893.000000, 77.943745
892.000000, 77.941300
891.000000, 77.991762
890.000000, 78.051181
889.000000, 78.060459
888.000000, 78.061581
887.000000, 78.100069
886.000000, 78.131491
885.000000, 78.174632
884.000000, 78.209678
883.000000, 78.241080
882.000000, 78.260178
881.000000, 78.271766
880.000000, 78.296675
879.000000, 78.321682
878.000000, 78.376603
877.000000, 78.410635
876.000000, 78.442154
875.000000, 78.475966
874.000000, 78.508211
873.000000, 78.543016
872.000000, 78.571056
871.000000, 78.603452
870.000000, 78.638987
869.000000, 78.669840
868.000000, 78.706433
867.000000, 78.707910
866.000000, 78.716120
865.000000, 78.777064
864.000000, 78.811676
863.000000, 78.815379
862.000000, 78.859748
861.000000, 78.891410
860.000000, 78.929317
859.000000, 78.953362
858.000000, 78.965569
857.000000, 78.985195
856.000000, 79.034692
855.000000, 79.058817
854.000000, 79.076694
853.000000, 79.124072
852.000000, 79.141559
851.000000, 79.145770
850.000000, 79.212179
849.000000, 79.259656
848.000000, 79.303055
847.000000, 79.303741
846.000000, 79.298032
845.000000, 79.391297
844.000000, 79.390077
843.000000, 79.422226
842.000000, 79.466103
841.000000, 79.465606
840.000000, 79.513518
839.000000, 79.545145
838.000000, 79.595958
837.000000, 79.620037
836.000000, 79.645837
835.000000, 79.650353
834.000000, 79.688001
833.000000, 79.711323
832.000000, 79.769247
831.000000, 79.805758
830.000000, 79.823997
829.000000, 79.830422
828.000000, 79.913344
827.000000, 79.953340
826.000000, 79.974755
825.000000, 80.004944
824.000000, 80.050974
823.000000, 80.069922
822.000000, 80.091831
821.000000, 80.115729
820.000000, 80.164963
819.000000, 80.179220
818.000000, 80.236280
817.000000, 80.249057
816.000000, 80.302717
815.000000, 80.358190
814.000000, 80.373293
813.000000, 80.395123
812.000000, 80.451335
811.000000, 80.449937
810.000000, 80.505766
809.000000, 80.550822
808.000000, 80.551431
807.000000, 80.615028
806.000000, 80.671615
805.000000, 80.689539
804.000000, 80.719922
803.000000, 80.771713
802.000000, 80.786172
801.000000, 80.793080
800.000000, 80.846064
799.000000, 80.879318
798.000000, 80.940839
797.000000, 80.970138
796.000000, 80.960635
795.000000, 81.028150
794.000000, 81.090247
793.000000, 81.075977
792.000000, 81.139452
791.000000, 81.176134
790.000000, 81.194444
789.000000, 81.241813
788.000000, 81.252824
787.000000, 81.303134
786.000000, 81.358426
785.000000, 81.395694
784.000000, 81.434454
783.000000, 81.455783
782.000000, 81.507934
781.000000, 81.503704
780.000000, 81.575210
779.000000, 81.606529
778.000000, 81.611458
777.000000, 81.652447
776.000000, 81.728044
775.000000, 81.715121
774.000000, 81.777245
773.000000, 81.813094
772.000000, 81.822247
771.000000, 81.844714
770.000000, 81.908147
769.000000, 81.908590
768.000000, 81.985774
767.000000, 82.010747
766.000000, 82.023326
765.000000, 82.071379
764.000000, 82.127239
763.000000, 82.120085
762.000000, 82.190543
761.000000, 82.229644
760.000000, 82.236419
759.000000, 82.250430
758.000000, 82.325151
757.000000, 82.326223
756.000000, 82.389530
755.000000, 82.425036
754.000000, 82.438076
753.000000, 82.493329
752.000000, 82.521624
751.000000, 82.541365
750.000000, 82.587759
749.000000, 82.597881
748.000000, 82.600189
747.000000, 82.639090
746.000000, 82.688855
745.000000, 82.696882
744.000000, 82.739548
743.000000, 82.776914
742.000000, 82.777182
741.000000, 82.813173
740.000000, 82.839394
739.000000, 82.869582
738.000000, 82.901892
737.000000, 82.949507
736.000000, 82.903841
735.000000, 82.959064
734.000000, 83.000015
733.000000, 82.971729
732.000000, 83.025420
731.000000, 83.045446
730.000000, 83.024781
729.000000, 83.074541
728.000000, 83.108751
727.000000, 83.117088
726.000000, 83.136430
725.000000, 83.153761
724.000000, 83.128449
723.000000, 83.159463
722.000000, 83.198276
721.000000, 83.173386
720.000000, 83.176860
719.000000, 83.188817
718.000000, 83.162487
717.000000, 83.179308
716.000000, 83.192184
715.000000, 83.195539
714.000000, 83.189828
713.000000, 83.169359
712.000000, 83.132254
711.000000, 83.137488
710.000000, 83.124236
709.000000, 83.142381
708.000000, 83.061007
707.000000, 83.057257
706.000000, 83.022488
705.000000, 83.022954
704.000000, 82.960332
703.000000, 82.972036
702.000000, 82.903760
701.000000, 82.867601
700.000000, 82.786537
699.000000, 82.786296
698.000000, 82.700273
697.000000, 82.686043
696.000000, 82.630203
695.000000, 82.521666
694.000000, 82.465176
693.000000, 82.416407
692.000000, 82.326548
691.000000, 82.242350
690.000000, 82.173196
689.000000, 82.083317
688.000000, 81.985309
687.000000, 81.933984
686.000000, 81.830651
685.000000, 81.742381
684.000000, 81.611228
683.000000, 81.516437
682.000000, 81.425586
681.000000, 81.367576
680.000000, 81.250066
679.000000, 81.144667
678.000000, 81.019791
677.000000, 80.946086
676.000000, 80.854868
675.000000, 80.795539
674.000000, 80.696472
673.000000, 80.614392
672.000000, 80.494953
671.000000, 80.449050
670.000000, 80.380301
669.000000, 80.336040
668.000000, 80.246448
667.000000, 80.177336
666.000000, 80.092071
665.000000, 80.063949
664.000000, 80.012606
663.000000, 80.037222
662.000000, 79.960102
661.000000, 79.922589
660.000000, 79.879338
659.000000, 79.866087
658.000000, 79.854607
657.000000, 79.862512
656.000000, 79.823291
655.000000, 79.817715
654.000000, 79.787330
653.000000, 79.807761
652.000000, 79.805870
651.000000, 79.843828
650.000000, 79.822992
649.000000, 79.818377
648.000000, 79.796075
647.000000, 79.835803
646.000000, 79.860723
645.000000, 79.917974
644.000000, 79.910231
643.000000, 79.913427
642.000000, 79.941729
641.000000, 79.964489
640.000000, 79.999829
639.000000, 80.071244
638.000000, 80.052872
637.000000, 80.091756
636.000000, 80.086736
635.000000, 80.127591
634.000000, 80.155995
633.000000, 80.211770
632.000000, 80.224063
631.000000, 80.204714
630.000000, 80.250787
629.000000, 80.266243
628.000000, 80.299236
627.000000, 80.320470
626.000000, 80.317274
625.000000, 80.309726
624.000000, 80.341740
623.000000, 80.338772
622.000000, 80.343865
621.000000, 80.363310
620.000000, 80.356973
619.000000, 80.335999
618.000000, 80.361931
617.000000, 80.341858
616.000000, 80.331351
615.000000, 80.320677
614.000000, 80.302475
613.000000, 80.254637
612.000000, 80.263779
